store_id,store_name,source_sheet,service_date,day_name,wave_min,latitude,longitude,employees,direction,wave_label
11147870,Hardees - Al Qureen 2,Hardees,2026-04-05,Sunday,0,29.204344,48.077731,3,IN,00:00
11147740,Hardees - Al Sbahiya,Hardees,2026-04-05,Sunday,0,29.109567,48.108588,1,IN,00:00
11148410,Hardees - Sabah Al Ahmed,Hardees,2026-04-05,Sunday,0,28.792,48.053,3,IN,00:00
11127930,KFC - Fahd Al Ahmad,KFC,2026-04-05,Sunday,240,29.134423,48.107656,2,IN,04:00
1,Commissary Chicken Tikka KWT,CT,2026-04-05,Sunday,360,29.29568,47.91551,11,IN,06:00
11127930,KFC - Fahd Al Ahmad,KFC,2026-04-05,Sunday,360,29.134423,48.107656,2,IN,06:00
11127930,KFC - Fahd Al Ahmad,KFC,2026-04-05,Sunday,480,29.134423,48.107656,6,IN,08:00
11148020,Hardees - Adan,Hardees,2026-04-05,Sunday,540,29.235634,48.079666,1,IN,09:00
11147460,Hardees - Al Ahmadi,Hardees,2026-04-05,Sunday,540,29.080435,48.066938,1,IN,09:00
11147750,Hardees - Al Fahaheel,Hardees,2026-04-05,Sunday,540,29.078125,48.135481,1,IN,09:00
11147960,Hardees - Al Mangaf,Hardees,2026-04-05,Sunday,540,29.098987,48.131574,1,IN,09:00
11147850,Hardees - Al Qureen,Hardees,2026-04-05,Sunday,540,29.236563,48.064671,4,IN,09:00
11147870,Hardees - Al Qureen 2,Hardees,2026-04-05,Sunday,540,29.204344,48.077731,4,IN,09:00
11147740,Hardees - Al Sbahiya,Hardees,2026-04-05,Sunday,540,29.109567,48.108588,1,IN,09:00
11148270,Hardees - Augiela 2,Hardees,2026-04-05,Sunday,540,29.172656,48.094883,2,IN,09:00
11148140,Hardees - Khairan,Hardees,2026-04-05,Sunday,540,28.66311,48.365472,1,IN,09:00
11148460,Hardees - Khiran Hybrid Outlet,Hardees,2026-04-05,Sunday,540,28.6719945,48.34673608,2,IN,09:00
11147470,Hardees - Om El Himan,Hardees,2026-04-05,Sunday,540,28.963033,48.16152,2,IN,09:00
11148480,Hardees - Qurain Markets,Hardees,2026-04-05,Sunday,540,29.1973848,48.04665118,1,IN,09:00
11148410,Hardees - Sabah Al Ahmed,Hardees,2026-04-05,Sunday,540,28.792,48.053,3,IN,09:00
11147830,Hardees - Sabah Al Salem,Hardees,2026-04-05,Sunday,540,29.256562,48.052294,2,IN,09:00
11148490,Hardees - Sabah Al Salem Block,Hardees,2026-04-05,Sunday,540,29.26592249,48.07889889,1,IN,09:00
11148160,Hardees - Village,Hardees,2026-04-05,Sunday,540,29.21224,48.104247,2,IN,09:00
11127760,KFC - Abo Helifa,KFC,2026-04-05,Sunday,540,29.1339,48.1324,2,IN,09:00
11128020,KFC - Adan,KFC,2026-04-05,Sunday,540,29.235456,48.079627,3,IN,09:00
11127460,KFC - Al Ahmadi,KFC,2026-04-05,Sunday,540,29.0806,48.067,2,IN,09:00
11127230,KFC - Al Bairak Mall,KFC,2026-04-05,Sunday,540,29.1734,48.099,1,IN,09:00
11128220,KFC - Al Kout Mall,KFC,2026-04-05,Sunday,540,29.078084,48.139116,2,IN,09:00
11127780,KFC - Al Mahboola,KFC,2026-04-05,Sunday,540,29.137847,48.124191,1,IN,09:00
11127960,KFC - Al Mangaf,KFC,2026-04-05,Sunday,540,29.099227,48.134147,2,IN,09:00
11127770,KFC - Al Zahr,KFC,2026-04-05,Sunday,540,29.168629,48.063945,3,IN,09:00
11127730,KFC - Alreqa,KFC,2026-04-05,Sunday,540,29.1431,48.1019,3,IN,09:00
11128440,KFC - Aswaq Al Qurain,KFC,2026-04-05,Sunday,540,29.19730724,48.05377481,2,IN,09:00
11128270,KFC - Augiela 2,KFC,2026-04-05,Sunday,540,29.172702,48.095099,3,IN,09:00
11127750,KFC - Fahaheel,KFC,2026-04-05,Sunday,540,29.0782,48.1354,3,IN,09:00
11127930,KFC - Fahd Al Ahmad,KFC,2026-04-05,Sunday,540,29.134423,48.107656,3,IN,09:00
11128420,KFC - Khiran Outlet,KFC,2026-04-05,Sunday,540,28.67162738,48.34640886,1,IN,09:00
11128570,KFC - Loft Fintas,KFC,2026-04-05,Sunday,540,29.18125495,48.11705636,1,IN,09:00
11128400,KFC - Mangaf 2,KFC,2026-04-05,Sunday,540,29.10458661,48.12479592,1,IN,09:00
11127470,KFC - Om El Himan,KFC,2026-04-05,Sunday,540,28.962943,48.161436,4,IN,09:00
11127850,KFC - Qureen,KFC,2026-04-05,Sunday,540,29.2155,48.0742,3,IN,09:00
11127830,KFC - S Al Salem,KFC,2026-04-05,Sunday,540,29.2496,48.0664,2,IN,09:00
11128370,KFC - Sabah Al Ahmad 2,KFC,2026-04-05,Sunday,540,28.79203867,48.05321903,6,IN,09:00
11128430,KFC - Sabah Al Salem 2,KFC,2026-04-05,Sunday,540,29.25425606,48.08093256,2,IN,09:00
11128200,KFC - Village,KFC,2026-04-05,Sunday,540,29.212059,48.10428,2,IN,09:00
11127870,KFC Mubarek El-Kaber(Qurain 2),KFC,2026-04-05,Sunday,540,29.1886,48.0798,3,IN,09:00
11198740,Krispy Kreme - Aswaq Al Qurain,KK,2026-04-05,Sunday,540,29.19731427,48.05369702,1,IN,09:00
11198770,Krispy Kreme - Divonne,KK,2026-04-05,Sunday,540,29.21343689,48.10417093,1,IN,09:00
11198750,Krispy Kreme - Fahaheel,KK,2026-04-05,Sunday,540,29.07812165,48.13541496,1,IN,09:00
11198090,Krispy Kreme - Gate Mall,KK,2026-04-05,Sunday,540,29.17496742,48.09889966,1,IN,09:00
11198790,Krispy Kreme - Khiran Hybrid O,KK,2026-04-05,Sunday,540,28.67190978,48.3466288,1,IN,09:00
11198760,Krispy Kreme - Khiran Square M,KK,2026-04-05,Sunday,540,28.67847697,48.33250624,1,IN,09:00
11198820,Krispy Kreme - Sabah Al Salem,KK,2026-04-05,Sunday,540,29.2658215,48.07883898,1,IN,09:00
11198700,Krispy Kreme Mangaf Sultan Centr,KK,2026-04-05,Sunday,540,29.10237548,48.12534815,1,IN,09:00
11188090,TGIF - Gate Mall,TGIF,2026-04-05,Sunday,540,29.1747,48.0973,1,IN,09:00
11118300,Wimpy - Abu Halifa,Wimpy,2026-04-05,Sunday,540,29.15414054,48.12480344,3,IN,09:00
11118400,Wimpy - Divonne Complex,Wimpy,2026-04-05,Sunday,540,29.21383204,48.10389363,1,IN,09:00
11147870,Hardees - Al Qureen 2,Hardees,2026-04-05,Sunday,540,29.204344,48.077731,1,OUT,09:00
11147740,Hardees - Al Sbahiya,Hardees,2026-04-05,Sunday,540,29.109567,48.108588,1,OUT,09:00
11148410,Hardees - Sabah Al Ahmed,Hardees,2026-04-05,Sunday,540,28.792,48.053,3,OUT,09:00
11228040,BR - Khiran Outlet,BR,2026-04-05,Sunday,600,28.67152384,48.34630157,1,IN,10:00
11228180,BR - Kout Mall,BR,2026-04-05,Sunday,600,29.07780655,48.13879906,1,IN,10:00
11228110,BR - Sabah Al Ahmed Coop,BR,2026-04-05,Sunday,600,28.78064934,48.04057647,2,IN,10:00
11147830,Hardees - Sabah Al Salem,Hardees,2026-04-05,Sunday,600,29.256562,48.052294,4,IN,10:00
11127960,KFC - Al Mangaf,KFC,2026-04-05,Sunday,600,29.099227,48.134147,1,IN,10:00
11128420,KFC - Khiran Outlet,KFC,2026-04-05,Sunday,600,28.67162738,48.34640886,2,IN,10:00
11128430,KFC - Sabah Al Salem 2,KFC,2026-04-05,Sunday,600,29.25425606,48.08093256,1,IN,10:00
11198830,Krispy Kreme - Kout Mall,KK,2026-04-05,Sunday,600,29.07775498,48.1387642,1,IN,10:00
11187760,TGIF - Abu Halifa,TGIF,2026-04-05,Sunday,600,29.154,48.1249,2,IN,10:00
11188220,TGIF - Al Kout Mall,TGIF,2026-04-05,Sunday,600,29.0791,48.1396,3,IN,10:00
11188090,TGIF - Gate Mall,TGIF,2026-04-05,Sunday,600,29.1747,48.0973,3,IN,10:00
11187030,TGIF - The Lake Mall,TGIF,2026-04-05,Sunday,600,29.216,48.1032,1,IN,10:00
11147870,Hardees - Al Qureen 2,Hardees,2026-04-05,Sunday,600,29.204344,48.077731,2,OUT,10:00
11227780,BR - Al Fintas,BR,2026-04-05,Sunday,660,29.171373,48.120228,1,IN,11:00
11228260,BR - Aswaq Al Qurain,BR,2026-04-05,Sunday,660,29.19725105,48.05375871,1,IN,11:00
11228250,BR - Divonne,BR,2026-04-05,Sunday,660,29.21344391,48.10409851,1,IN,11:00
11227750,BR - Fahaheel,BR,2026-04-05,Sunday,660,29.078178,48.135468,1,IN,11:00
11227930,BR - Fahd El Ahmed,BR,2026-04-05,Sunday,660,29.134477,48.107599,1,IN,11:00
11227470,BR - Om El Haiman,BR,2026-04-05,Sunday,660,28.96298,48.16143,2,IN,11:00
11227850,BR - Qurain 1,BR,2026-04-05,Sunday,660,29.20439,48.0777,2,IN,11:00
11227860,BR - Qurain 2,BR,2026-04-05,Sunday,660,29.134477,48.107599,1,IN,11:00
11227870,BR - Qurain 3,BR,2026-04-05,Sunday,660,29.23658,48.06314,2,IN,11:00
11227730,BR - Reqa,BR,2026-04-05,Sunday,660,29.14461,48.1009,1,IN,11:00
11228270,BR - Sabah Al Salem Block 1,BR,2026-04-05,Sunday,660,29.26586595,48.07895968,1,IN,11:00
11228000,BR - The Gate Mall,BR,2026-04-05,Sunday,660,29.17500489,48.09886211,1,IN,11:00
11148020,Hardees - Adan,Hardees,2026-04-05,Sunday,660,29.235634,48.079666,3,IN,11:00
11147460,Hardees - Al Ahmadi,Hardees,2026-04-05,Sunday,660,29.080435,48.066938,2,IN,11:00
11147750,Hardees - Al Fahaheel,Hardees,2026-04-05,Sunday,660,29.078125,48.135481,1,IN,11:00
11147850,Hardees - Al Qureen,Hardees,2026-04-05,Sunday,660,29.236563,48.064671,1,IN,11:00
11147740,Hardees - Al Sbahiya,Hardees,2026-04-05,Sunday,660,29.109567,48.108588,2,IN,11:00
11147770,Hardees - Al Zahr,Hardees,2026-04-05,Sunday,660,29.168466,48.063947,1,IN,11:00
11148270,Hardees - Augiela 2,Hardees,2026-04-05,Sunday,660,29.172656,48.094883,1,IN,11:00
11147930,Hardees - Fahd El Ahmed,Hardees,2026-04-05,Sunday,660,29.134419,48.107682,1,IN,11:00
11148140,Hardees - Khairan,Hardees,2026-04-05,Sunday,660,28.66311,48.365472,2,IN,11:00
11147470,Hardees - Om El Himan,Hardees,2026-04-05,Sunday,660,28.963033,48.16152,1,IN,11:00
11148480,Hardees - Qurain Markets,Hardees,2026-04-05,Sunday,660,29.1973848,48.04665118,1,IN,11:00
11148410,Hardees - Sabah Al Ahmed,Hardees,2026-04-05,Sunday,660,28.792,48.053,3,IN,11:00
11148160,Hardees - Village,Hardees,2026-04-05,Sunday,660,29.21224,48.104247,1,IN,11:00
11127760,KFC - Abo Helifa,KFC,2026-04-05,Sunday,660,29.1339,48.1324,2,IN,11:00
11128020,KFC - Adan,KFC,2026-04-05,Sunday,660,29.235456,48.079627,3,IN,11:00
11127460,KFC - Al Ahmadi,KFC,2026-04-05,Sunday,660,29.0806,48.067,3,IN,11:00
11127780,KFC - Al Mahboola,KFC,2026-04-05,Sunday,660,29.137847,48.124191,4,IN,11:00
11127960,KFC - Al Mangaf,KFC,2026-04-05,Sunday,660,29.099227,48.134147,2,IN,11:00
11127770,KFC - Al Zahr,KFC,2026-04-05,Sunday,660,29.168629,48.063945,1,IN,11:00
11127730,KFC - Alreqa,KFC,2026-04-05,Sunday,660,29.1431,48.1019,3,IN,11:00
11128440,KFC - Aswaq Al Qurain,KFC,2026-04-05,Sunday,660,29.19730724,48.05377481,3,IN,11:00
11128270,KFC - Augiela 2,KFC,2026-04-05,Sunday,660,29.172702,48.095099,1,IN,11:00
11127750,KFC - Fahaheel,KFC,2026-04-05,Sunday,660,29.0782,48.1354,2,IN,11:00
11127930,KFC - Fahd Al Ahmad,KFC,2026-04-05,Sunday,660,29.134423,48.107656,2,IN,11:00
11128570,KFC - Loft Fintas,KFC,2026-04-05,Sunday,660,29.18125495,48.11705636,3,IN,11:00
11128400,KFC - Mangaf 2,KFC,2026-04-05,Sunday,660,29.10458661,48.12479592,1,IN,11:00
11127470,KFC - Om El Himan,KFC,2026-04-05,Sunday,660,28.962943,48.161436,5,IN,11:00
11127850,KFC - Qureen,KFC,2026-04-05,Sunday,660,29.2155,48.0742,1,IN,11:00
11127830,KFC - S Al Salem,KFC,2026-04-05,Sunday,660,29.2496,48.0664,4,IN,11:00
11128430,KFC - Sabah Al Salem 2,KFC,2026-04-05,Sunday,660,29.25425606,48.08093256,2,IN,11:00
11128200,KFC - Village,KFC,2026-04-05,Sunday,660,29.212059,48.10428,1,IN,11:00
11127870,KFC Mubarek El-Kaber(Qurain 2),KFC,2026-04-05,Sunday,660,29.1886,48.0798,3,IN,11:00
11187760,TGIF - Abu Halifa,TGIF,2026-04-05,Sunday,660,29.154,48.1249,2,IN,11:00
11188220,TGIF - Al Kout Mall,TGIF,2026-04-05,Sunday,660,29.0791,48.1396,3,IN,11:00
11188090,TGIF - Gate Mall,TGIF,2026-04-05,Sunday,660,29.1747,48.0973,2,IN,11:00
11187030,TGIF - The Lake Mall,TGIF,2026-04-05,Sunday,660,29.216,48.1032,3,IN,11:00
11118400,Wimpy - Divonne Complex,Wimpy,2026-04-05,Sunday,660,29.21383204,48.10389363,1,IN,11:00
11227230,BR - Al Bairak Mall,BR,2026-04-05,Sunday,720,29.1735,48.09851,2,IN,12:00
11127230,KFC - Al Bairak Mall,KFC,2026-04-05,Sunday,720,29.1734,48.099,4,IN,12:00
11118400,Wimpy - Divonne Complex,Wimpy,2026-04-05,Sunday,720,29.21383204,48.10389363,1,IN,12:00
11127930,KFC - Fahd Al Ahmad,KFC,2026-04-05,Sunday,720,29.134423,48.107656,2,OUT,12:00
11188220,TGIF - Al Kout Mall,TGIF,2026-04-05,Sunday,780,29.0791,48.1396,2,IN,13:00
11187030,TGIF - The Lake Mall,TGIF,2026-04-05,Sunday,780,29.216,48.1032,1,IN,13:00
11147850,Hardees - Al Qureen,Hardees,2026-04-05,Sunday,840,29.236563,48.064671,2,IN,14:00
11128020,KFC - Adan,KFC,2026-04-05,Sunday,840,29.235456,48.079627,1,IN,14:00
11127770,KFC - Al Zahr,KFC,2026-04-05,Sunday,840,29.168629,48.063945,1,IN,14:00
11187760,TGIF - Abu Halifa,TGIF,2026-04-05,Sunday,840,29.154,48.1249,3,IN,14:00
11188220,TGIF - Al Kout Mall,TGIF,2026-04-05,Sunday,840,29.0791,48.1396,2,IN,14:00
11188090,TGIF - Gate Mall,TGIF,2026-04-05,Sunday,840,29.1747,48.0973,5,IN,14:00
11187030,TGIF - The Lake Mall,TGIF,2026-04-05,Sunday,840,29.216,48.1032,2,IN,14:00
11118400,Wimpy - Divonne Complex,Wimpy,2026-04-05,Sunday,840,29.21383204,48.10389363,1,IN,14:00
1,Commissary Chicken Tikka KWT,CT,2026-04-05,Sunday,900,29.29568,47.91551,1,OUT,15:00
11147850,Hardees - Al Qureen,Hardees,2026-04-05,Sunday,960,29.236563,48.064671,1,IN,16:00
11147870,Hardees - Al Qureen 2,Hardees,2026-04-05,Sunday,960,29.204344,48.077731,1,IN,16:00
11147830,Hardees - Sabah Al Salem,Hardees,2026-04-05,Sunday,960,29.256562,48.052294,2,IN,16:00
11128220,KFC - Al Kout Mall,KFC,2026-04-05,Sunday,960,29.078084,48.139116,3,IN,16:00
11127730,KFC - Alreqa,KFC,2026-04-05,Sunday,960,29.1431,48.1019,2,IN,16:00
11128270,KFC - Augiela 2,KFC,2026-04-05,Sunday,960,29.172702,48.095099,1,IN,16:00
11128400,KFC - Mangaf 2,KFC,2026-04-05,Sunday,960,29.10458661,48.12479592,1,IN,16:00
11127470,KFC - Om El Himan,KFC,2026-04-05,Sunday,960,28.962943,48.161436,3,IN,16:00
11127850,KFC - Qureen,KFC,2026-04-05,Sunday,960,29.2155,48.0742,1,IN,16:00
11128200,KFC - Village,KFC,2026-04-05,Sunday,960,29.212059,48.10428,1,IN,16:00
11187760,TGIF - Abu Halifa,TGIF,2026-04-05,Sunday,960,29.154,48.1249,3,IN,16:00
11188220,TGIF - Al Kout Mall,TGIF,2026-04-05,Sunday,960,29.0791,48.1396,2,IN,16:00
11188090,TGIF - Gate Mall,TGIF,2026-04-05,Sunday,960,29.1747,48.0973,4,IN,16:00
11187030,TGIF - The Lake Mall,TGIF,2026-04-05,Sunday,960,29.216,48.1032,5,IN,16:00
1,Commissary Chicken Tikka KWT,CT,2026-04-05,Sunday,960,29.29568,47.91551,10,OUT,16:00
11147850,Hardees - Al Qureen,Hardees,2026-04-05,Sunday,960,29.236563,48.064671,1,OUT,16:00
11147830,Hardees - Sabah Al Salem,Hardees,2026-04-05,Sunday,960,29.256562,48.052294,4,OUT,16:00
11127760,KFC - Abo Helifa,KFC,2026-04-05,Sunday,960,29.1339,48.1324,1,OUT,16:00
11187760,TGIF - Abu Halifa,TGIF,2026-04-05,Sunday,960,29.154,48.1249,4,OUT,16:00
11188220,TGIF - Al Kout Mall,TGIF,2026-04-05,Sunday,960,29.0791,48.1396,5,OUT,16:00
11188090,TGIF - Gate Mall,TGIF,2026-04-05,Sunday,960,29.1747,48.0973,3,OUT,16:00
11187030,TGIF - The Lake Mall,TGIF,2026-04-05,Sunday,960,29.216,48.1032,4,OUT,16:00
11127730,KFC - Alreqa,KFC,2026-04-05,Sunday,1020,29.1431,48.1019,6,IN,17:00
11128420,KFC - Khiran Outlet,KFC,2026-04-05,Sunday,1020,28.67162738,48.34640886,4,IN,17:00
11148020,Hardees - Adan,Hardees,2026-04-05,Sunday,1080,29.235634,48.079666,2,IN,18:00
11147460,Hardees - Al Ahmadi,Hardees,2026-04-05,Sunday,1080,29.080435,48.066938,2,IN,18:00
11147750,Hardees - Al Fahaheel,Hardees,2026-04-05,Sunday,1080,29.078125,48.135481,1,IN,18:00
11147780,Hardees - Al Fintas,Hardees,2026-04-05,Sunday,1080,29.143241,48.129412,3,IN,18:00
11147850,Hardees - Al Qureen,Hardees,2026-04-05,Sunday,1080,29.236563,48.064671,1,IN,18:00
11147870,Hardees - Al Qureen 2,Hardees,2026-04-05,Sunday,1080,29.204344,48.077731,3,IN,18:00
11147740,Hardees - Al Sbahiya,Hardees,2026-04-05,Sunday,1080,29.109567,48.108588,4,IN,18:00
11147770,Hardees - Al Zahr,Hardees,2026-04-05,Sunday,1080,29.168466,48.063947,3,IN,18:00
11148270,Hardees - Augiela 2,Hardees,2026-04-05,Sunday,1080,29.172656,48.094883,4,IN,18:00
11147930,Hardees - Fahd El Ahmed,Hardees,2026-04-05,Sunday,1080,29.134419,48.107682,2,IN,18:00
11148140,Hardees - Khairan,Hardees,2026-04-05,Sunday,1080,28.66311,48.365472,1,IN,18:00
11148460,Hardees - Khiran Hybrid Outlet,Hardees,2026-04-05,Sunday,1080,28.6719945,48.34673608,2,IN,18:00
11147470,Hardees - Om El Himan,Hardees,2026-04-05,Sunday,1080,28.963033,48.16152,1,IN,18:00
11148410,Hardees - Sabah Al Ahmed,Hardees,2026-04-05,Sunday,1080,28.792,48.053,3,IN,18:00
11147830,Hardees - Sabah Al Salem,Hardees,2026-04-05,Sunday,1080,29.256562,48.052294,2,IN,18:00
11148490,Hardees - Sabah Al Salem Block,Hardees,2026-04-05,Sunday,1080,29.26592249,48.07889889,1,IN,18:00
11127760,KFC - Abo Helifa,KFC,2026-04-05,Sunday,1080,29.1339,48.1324,4,IN,18:00
11128020,KFC - Adan,KFC,2026-04-05,Sunday,1080,29.235456,48.079627,2,IN,18:00
11127460,KFC - Al Ahmadi,KFC,2026-04-05,Sunday,1080,29.0806,48.067,2,IN,18:00
11127780,KFC - Al Mahboola,KFC,2026-04-05,Sunday,1080,29.137847,48.124191,3,IN,18:00
11127960,KFC - Al Mangaf,KFC,2026-04-05,Sunday,1080,29.099227,48.134147,2,IN,18:00
11127770,KFC - Al Zahr,KFC,2026-04-05,Sunday,1080,29.168629,48.063945,6,IN,18:00
11128270,KFC - Augiela 2,KFC,2026-04-05,Sunday,1080,29.172702,48.095099,1,IN,18:00
11127750,KFC - Fahaheel,KFC,2026-04-05,Sunday,1080,29.0782,48.1354,3,IN,18:00
11128570,KFC - Loft Fintas,KFC,2026-04-05,Sunday,1080,29.18125495,48.11705636,5,IN,18:00
11128400,KFC - Mangaf 2,KFC,2026-04-05,Sunday,1080,29.10458661,48.12479592,5,IN,18:00
11127470,KFC - Om El Himan,KFC,2026-04-05,Sunday,1080,28.962943,48.161436,4,IN,18:00
11127830,KFC - S Al Salem,KFC,2026-04-05,Sunday,1080,29.2496,48.0664,3,IN,18:00
11128370,KFC - Sabah Al Ahmad 2,KFC,2026-04-05,Sunday,1080,28.79203867,48.05321903,7,IN,18:00
11128200,KFC - Village,KFC,2026-04-05,Sunday,1080,29.212059,48.10428,2,IN,18:00
11127870,KFC Mubarek El-Kaber(Qurain 2),KFC,2026-04-05,Sunday,1080,29.1886,48.0798,5,IN,18:00
11198740,Krispy Kreme - Aswaq Al Qurain,KK,2026-04-05,Sunday,1080,29.19731427,48.05369702,1,IN,18:00
11198770,Krispy Kreme - Divonne,KK,2026-04-05,Sunday,1080,29.21343689,48.10417093,1,IN,18:00
11198750,Krispy Kreme - Fahaheel,KK,2026-04-05,Sunday,1080,29.07812165,48.13541496,1,IN,18:00
11198090,Krispy Kreme - Gate Mall,KK,2026-04-05,Sunday,1080,29.17496742,48.09889966,1,IN,18:00
11198790,Krispy Kreme - Khiran Hybrid O,KK,2026-04-05,Sunday,1080,28.67190978,48.3466288,1,IN,18:00
11198760,Krispy Kreme - Khiran Square M,KK,2026-04-05,Sunday,1080,28.67847697,48.33250624,1,IN,18:00
11198820,Krispy Kreme - Sabah Al Salem,KK,2026-04-05,Sunday,1080,29.2658215,48.07883898,1,IN,18:00
11198700,Krispy Kreme Mangaf Sultan Centr,KK,2026-04-05,Sunday,1080,29.10237548,48.12534815,1,IN,18:00
11137130,Tikka - Fahaheel DK,CT,2026-04-05,Sunday,1080,29.352062,47.66496348,2,IN,18:00
11137870,Tikka - Qurain,CT,2026-04-05,Sunday,1080,29.20443,48.077741,5,IN,18:00
11118300,Wimpy - Abu Halifa,Wimpy,2026-04-05,Sunday,1080,29.15414054,48.12480344,4,IN,18:00
11118400,Wimpy - Divonne Complex,Wimpy,2026-04-05,Sunday,1080,29.21383204,48.10389363,1,IN,18:00
11148020,Hardees - Adan,Hardees,2026-04-05,Sunday,1080,29.235634,48.079666,1,OUT,18:00
11147460,Hardees - Al Ahmadi,Hardees,2026-04-05,Sunday,1080,29.080435,48.066938,1,OUT,18:00
11147750,Hardees - Al Fahaheel,Hardees,2026-04-05,Sunday,1080,29.078125,48.135481,1,OUT,18:00
11147960,Hardees - Al Mangaf,Hardees,2026-04-05,Sunday,1080,29.098987,48.131574,1,OUT,18:00
11147850,Hardees - Al Qureen,Hardees,2026-04-05,Sunday,1080,29.236563,48.064671,4,OUT,18:00
11147870,Hardees - Al Qureen 2,Hardees,2026-04-05,Sunday,1080,29.204344,48.077731,3,OUT,18:00
11147740,Hardees - Al Sbahiya,Hardees,2026-04-05,Sunday,1080,29.109567,48.108588,1,OUT,18:00
11148270,Hardees - Augiela 2,Hardees,2026-04-05,Sunday,1080,29.172656,48.094883,2,OUT,18:00
11148140,Hardees - Khairan,Hardees,2026-04-05,Sunday,1080,28.66311,48.365472,1,OUT,18:00
11148460,Hardees - Khiran Hybrid Outlet,Hardees,2026-04-05,Sunday,1080,28.6719945,48.34673608,1,OUT,18:00
11147470,Hardees - Om El Himan,Hardees,2026-04-05,Sunday,1080,28.963033,48.16152,2,OUT,18:00
11148410,Hardees - Sabah Al Ahmed,Hardees,2026-04-05,Sunday,1080,28.792,48.053,3,OUT,18:00
11148490,Hardees - Sabah Al Salem Block,Hardees,2026-04-05,Sunday,1080,29.26592249,48.07889889,1,OUT,18:00
11127760,KFC - Abo Helifa,KFC,2026-04-05,Sunday,1080,29.1339,48.1324,2,OUT,18:00
11128020,KFC - Adan,KFC,2026-04-05,Sunday,1080,29.235456,48.079627,3,OUT,18:00
11127460,KFC - Al Ahmadi,KFC,2026-04-05,Sunday,1080,29.0806,48.067,2,OUT,18:00
11127230,KFC - Al Bairak Mall,KFC,2026-04-05,Sunday,1080,29.1734,48.099,1,OUT,18:00
11128220,KFC - Al Kout Mall,KFC,2026-04-05,Sunday,1080,29.078084,48.139116,2,OUT,18:00
11127780,KFC - Al Mahboola,KFC,2026-04-05,Sunday,1080,29.137847,48.124191,1,OUT,18:00
11127960,KFC - Al Mangaf,KFC,2026-04-05,Sunday,1080,29.099227,48.134147,2,OUT,18:00
11128440,KFC - Aswaq Al Qurain,KFC,2026-04-05,Sunday,1080,29.19730724,48.05377481,2,OUT,18:00
11128270,KFC - Augiela 2,KFC,2026-04-05,Sunday,1080,29.172702,48.095099,3,OUT,18:00
11127750,KFC - Fahaheel,KFC,2026-04-05,Sunday,1080,29.0782,48.1354,3,OUT,18:00
11128420,KFC - Khiran Outlet,KFC,2026-04-05,Sunday,1080,28.67162738,48.34640886,1,OUT,18:00
11128570,KFC - Loft Fintas,KFC,2026-04-05,Sunday,1080,29.18125495,48.11705636,1,OUT,18:00
11128400,KFC - Mangaf 2,KFC,2026-04-05,Sunday,1080,29.10458661,48.12479592,1,OUT,18:00
11127470,KFC - Om El Himan,KFC,2026-04-05,Sunday,1080,28.962943,48.161436,4,OUT,18:00
11127850,KFC - Qureen,KFC,2026-04-05,Sunday,1080,29.2155,48.0742,3,OUT,18:00
11127830,KFC - S Al Salem,KFC,2026-04-05,Sunday,1080,29.2496,48.0664,2,OUT,18:00
11128370,KFC - Sabah Al Ahmad 2,KFC,2026-04-05,Sunday,1080,28.79203867,48.05321903,6,OUT,18:00
11128430,KFC - Sabah Al Salem 2,KFC,2026-04-05,Sunday,1080,29.25425606,48.08093256,2,OUT,18:00
11128200,KFC - Village,KFC,2026-04-05,Sunday,1080,29.212059,48.10428,2,OUT,18:00
11127870,KFC Mubarek El-Kaber(Qurain 2),KFC,2026-04-05,Sunday,1080,29.1886,48.0798,3,OUT,18:00
11198740,Krispy Kreme - Aswaq Al Qurain,KK,2026-04-05,Sunday,1080,29.19731427,48.05369702,1,OUT,18:00
11198770,Krispy Kreme - Divonne,KK,2026-04-05,Sunday,1080,29.21343689,48.10417093,1,OUT,18:00
11198750,Krispy Kreme - Fahaheel,KK,2026-04-05,Sunday,1080,29.07812165,48.13541496,1,OUT,18:00
11198090,Krispy Kreme - Gate Mall,KK,2026-04-05,Sunday,1080,29.17496742,48.09889966,1,OUT,18:00
11198790,Krispy Kreme - Khiran Hybrid O,KK,2026-04-05,Sunday,1080,28.67190978,48.3466288,1,OUT,18:00
11198760,Krispy Kreme - Khiran Square M,KK,2026-04-05,Sunday,1080,28.67847697,48.33250624,1,OUT,18:00
11198820,Krispy Kreme - Sabah Al Salem,KK,2026-04-05,Sunday,1080,29.2658215,48.07883898,1,OUT,18:00
11198700,Krispy Kreme Mangaf Sultan Centr,KK,2026-04-05,Sunday,1080,29.10237548,48.12534815,1,OUT,18:00
11188090,TGIF - Gate Mall,TGIF,2026-04-05,Sunday,1080,29.1747,48.0973,1,OUT,18:00
11118300,Wimpy - Abu Halifa,Wimpy,2026-04-05,Sunday,1080,29.15414054,48.12480344,3,OUT,18:00
11118400,Wimpy - Divonne Complex,Wimpy,2026-04-05,Sunday,1080,29.21383204,48.10389363,1,OUT,18:00
11228040,BR - Khiran Outlet,BR,2026-04-05,Sunday,1140,28.67152384,48.34630157,1,IN,19:00
11228180,BR - Kout Mall,BR,2026-04-05,Sunday,1140,29.07780655,48.13879906,1,IN,19:00
